Job Request ID ,Application Date,Customer Name,Gender,Contact Number,Email Address,National ID Number,Administrative Division (Lagos),Street Name,Zipcode,Description of Need,Latitude,Longitude,Job Status,Completed Date and time,Label,LCDA,Region,LGA
PP20130118554,01/18/2013,Adaeze Oladipo,Female,2.34803E+12,adaeze.oladipo41@outlook.com,3974065833,Epe Division,21st,94121,add one new bathroom.,6.584675,3.969353,Closed,13/02/2026 04:03,Sanitation failure,Odi-Olowo/Ojuwoye LCDA,Lagos Island,Lagos Island
PP20130228661,02/28/2013,Adebayo Mohammed,Male,2.34818E+12,adebayo.mohammed78@hotmail.com,73264848555,Ikorodu Division,18th,94121,Underground water pipe burst near hospital entrance,6.613956,3.511609,Closed,13/02/2026 04:03,Leak,Bariga LCDA,Badagry,Amuwo-Odofin
PP20131108823,11/08/2013,Femi Oladipo,Male,2.34807E+12,femi.oladipo24@gmail.com,63386950653,Ikeja Division,Upper,94117,High-pressure pipe burst affecting multiple residential buildings,6.59749,3.298757,Closed,13/02/2026 04:03,Leak,Oshodi-Bolade LCDA,Ikeja,Alimosho
PP20140515777,05/15/2014,Femi Okafor,Male,2.34906E+12,femi.okafor80@gmail.com,76780212158,Ikeja Division,Noe,94131,Toilet overflow due to heavily blocked drain system,6.577294,3.413783,Closed,13/02/2026 04:03,Blockage,Ikorodu North LCDA,Ikorodu,Ikorodu
PP20140527016,05/27/2014,Opeyemi Chukwu,Female,2.34908E+12,opeyemi.chukwu24@yahoo.com,13440545358,Ikeja Division,Shrader,94117,High-pressure pipe burst affecting multiple residential buildings,6.663783,3.347123,Closed,13/02/2026 04:03,Leak,Oto-Awori LCDA,Lagos Island,Lagos Mainland
PP20141031441,10/31/2014,Amaka Chukwu,Female,2.34813E+12,amaka.chukwu87@hotmail.com,5063564872,Ikeja Division,Douglass,94114,"replace sink, remove stove gas line.",6.608865,3.284423,Closed,13/02/2026 04:03,Sanitation failure,Isolo LCDA,Ikeja,Ikeja
PP20141110636,11/10/2014,Seyi Eze,Male,2.34803E+12,seyi.eze97@outlook.com,9736360014,Lagos Island Division,Hill,94114,Sewer overflow spreading wastewater near market area,6.457025,3.346792,Closed,13/02/2026 04:03,Sanitation failure,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20150504273,05/04/2015,Bola Adebisi,Female,2.34815E+12,bola.adebisi78@hotmail.com,95108675873,Lagos Island Division,28th,94131,Minor kitchen sink pipe leakage under cabinet,6.526489,3.359603,Closed,13/02/2026 04:03,Leak,Coker-Aguda LCDA,Ikeja,Agege
PP20150806933,08/06/2015,Yetunde Nnamdi,Female,2.34903E+12,yetunde.nnamdi93@yahoo.com,41052305793,Ikeja Division,Wisconsin,94107,2 shower pans.,6.656518,3.330569,Closed,13/02/2026 04:03,Sanitation failure,Egbe-Idimu LCDA,Ikeja,Ikeja
PP20160309582,03/09/2016,Chinedu Adebisi,Male,2.3482E+12,chinedu.adebisi78@hotmail.com,97926253567,Badagry Division,09th,94122,High-pressure pipe burst affecting multiple residential buildings,6.468385,3.184714,Closed,13/02/2026 04:03,Leak,Ikorodu West LCDA,Ikorodu,Ikorodu
PP20160425897,04/25/2016,Zainab Ogunleye,Female,2.34814E+12,zainab.ogunleye45@gmail.com,53868240700,Ikeja Division,Oak,94102,(1) shower pan.,6.552444,3.305089,Closed,13/02/2026 04:03,Sanitation failure,Oto-Awori LCDA,Lagos Island,Lagos Mainland
PP20160809928,08/09/2016,Obinna Ibrahim,Male,2.3481E+12,obinna.ibrahim57@outlook.com,67216940125,Ikeja Division,Ellington,94112,Minor kitchen sink pipe leakage under cabinet,6.600715,3.328802,Closed,13/02/2026 04:03,Leak,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20170126470,01/26/2017,Opeyemi Oladipo,Female,2.34809E+12,opeyemi.oladipo76@gmail.com,7147475672,Lagos Island Division,Mission,94112,Cracked underground pipe slowly flooding compound,6.492294,3.371371,Closed,13/02/2026 04:03,Sanitation failure,Ikoyi-Obalende LCDA,Epe,Ibeju-Lekki
PP20170420726,04/20/2017,Chukwudi Adebisi,Male,2.3491E+12,chukwudi.adebisi63@gmail.com,49685907503,Lagos Island Division,21st,94110,Sewer overflow spreading wastewater near market area,6.452236,3.34137,Closed,13/02/2026 04:03,Sanitation failure,Ikorodu West LCDA,Ikorodu,Ikorodu
PP20170601834,06/01/2017,Abdulrahman Yakubu,Male,2.34812E+12,abdulrahman.yakubu45@hotmail.com,59094267292,Badagry Division,Grant,94133,Water heater pipe leakage soaking utility area,6.418241,2.881149,Closed,13/02/2026 04:03,Leak,Amuwo-Odofin LCDA,Ikeja,Ifako-Ijaiye
PP20171006321,10/06/2017,Chinedu Umeh,Male,2.34814E+12,chinedu.umeh31@yahoo.com,25525876676,Ikeja Division,Persia,94112,Flooding due to collapsed drainage system after rainfall,6.663031,3.334717,Closed,13/02/2026 04:03,Blockage,Ebute-Metta LCDA,Lagos Island,Eti-Osa
PP20180312574,03/12/2018,Emeka Owolabi,Male,2.34814E+12,emeka.owolabi71@gmail.com,27709440553,Lagos Island Division,29th,94131,Water main leakage along roadside causing traffic obstruction,6.53471,3.388513,Closed,13/02/2026 04:03,Leak,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20180524678,05/24/2018,Chioma Adeyemi,Female,2.34815E+12,chioma.adeyemi12@hotmail.com,55041688866,Lagos Island Division,41st,94121,Public tap pipe severely damaged in residential community,6.440408,3.355908,Closed,13/02/2026 04:03,Sanitation failure,Coker-Aguda LCDA,Ikeja,Agege
PP20181120841,11/20/2018,Emeka Okafor,Male,2.34818E+12,emeka.okafor17@hotmail.com,5477305904,Ikeja Division,Liebig,94112,Major pipe burst near primary school disrupting access road,6.673113,3.338355,Closed,13/02/2026 04:03,Leak,Oshodi-Bolade LCDA,Ikeja,Alimosho
PP20190214154,02/14/2019,Abdulrahman Nwosu,Male,2.34902E+12,abdulrahman.nwosu48@yahoo.com,42454062642,Badagry Division,Scott,94115,Persistent dripping tap in kitchen wasting water daily,6.410208,2.883143,Closed,13/02/2026 04:03,Sanitation failure,Agbado-Oke Odo LCDA,Lagos Island,Apapa
PP20190826826,08/26/2019,Oluwaseun Ibrahim,Male,2.34815E+12,oluwaseun.ibrahim12@yahoo.com,50533480231,Ikeja Division,Nobles,94133,Septic tank backflow causing strong sewage odor indoors,6.590737,3.339538,Closed,13/02/2026 04:03,Sanitation failure,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20191010180,10/10/2019,Adebayo Umeh,Male,2.34818E+12,adebayo.umeh89@hotmail.com,86085105695,Ikeja Division,Mission,94110,Water main leakage along roadside causing traffic obstruction,6.617125,3.308562,Closed,13/02/2026 04:03,Leak,Egbe-Idimu LCDA,Ikeja,Ikeja
PP20200205393,02/05/2020,Obinna Eze,Male,2.34811E+12,obinna.eze10@gmail.com,65718886802,Epe Division,California,94115,Low water pressure affecting entire household supply,6.58328,3.993635,Closed,13/02/2026 04:03,Sanitation failure,Agbado-Oke Odo LCDA,Lagos Island,Apapa
PP20200828816,08/28/2020,Emeka Okoye,Male,2.34819E+12,emeka.okoye35@hotmail.com,10402552365,Epe Division,Brussels,94134,"replace ten feet of 1"" gas line.",6.587616,3.977149,Closed,13/02/2026 04:03,Sanitation failure,Agbado-Oke Odo LCDA,Lagos Island,Apapa
PP20210226458,02/26/2021,Ngozi Chukwu,Female,2.34804E+12,ngozi.chukwu21@yahoo.com,18516993098,Ikorodu Division,Capra,94123,unit 306: relocate kitchen. rehabilitate existing bathroom. install washer & dryer. rewire unit.,6.623014,3.52588,Closed,13/02/2026 04:03,Sanitation failure,Ikoyi-Obalende LCDA,Epe,Ibeju-Lekki
PP20210326008,03/26/2021,Kelechi Ajayi,Male,2.34909E+12,kelechi.ajayi94@gmail.com,97423297470,Ikeja Division,Hayes,94117,unit 10: kitchen & bath remodel,6.615142,3.351646,Closed,13/02/2026 04:03,Sanitation failure,Agbado-Oke Odo LCDA,Lagos Island,Apapa
PP20210429562,04/29/2021,Abdulrahman Akinyemi,Male,2.34808E+12,abdulrahman.akinyemi62@gmail.com,89202169362,Ikeja Division,Connecticut,94107,Sudden burst water pipe inside bathroom wall causing flooding,6.643603,3.336819,Open,13/02/2026 04:03,Leak,Ikeja LCDA,Epe,Epe
PP20210603138,06/03/2021,Chisom Adeyemi,Female,2.3481E+12,chisom.adeyemi85@gmail.com,56645235262,Badagry Division,Elizabeth,94114,bathroom remodel,6.46757,3.33031,Closed,13/02/2026 04:03,Sanitation failure,Igbogbo-Baiyeku LCDA,Badagry,Ojo
PP20211012793,10/12/2021,Aisha Ojo,Female,2.3481E+12,aisha.ojo27@outlook.com,83158991348,Lagos Island Division,Utah,94103,Major pipe burst near primary school disrupting access road,6.434018,3.402024,Closed,13/02/2026 04:03,Leak,Lekki LCDA,Ikeja,Oshodi-Isolo
PP20211214014,12/14/2021,Oluwaseun Ajayi,Male,2.34906E+12,oluwaseun.ajayi28@outlook.com,64583146307,Ikeja Division,Utah,94110,Public tap pipe severely damaged in residential community,6.667603,3.332171,Closed,13/02/2026 04:03,Sanitation failure,Lekki LCDA,Ikeja,Oshodi-Isolo
PP20220523021,05/23/2022,Olamide Adebisi,Male,2.34903E+12,olamide.adebisi79@hotmail.com,49129943887,Lagos Island Division,Balboa,94118,High-pressure pipe burst affecting multiple residential buildings,6.511679,3.355617,Closed,13/02/2026 04:03,Leak,Onigbongbo LCDA,Epe,Ibeju-Lekki
PP20220811473,08/11/2022,Kelechi Oladipo,Male,2.34815E+12,kelechi.oladipo80@outlook.com,14776327794,Ikeja Division,26th,94116,Toilet overflow due to heavily blocked drain system,6.593715,3.346482,Closed,13/02/2026 04:03,Blockage,Ojodu LCDA,Lagos Island,Eti-Osa
PP20220927259,09/27/2022,Oluwaseun Ajayi,Male,2.34817E+12,oluwaseun.ajayi37@outlook.com,24371795329,Epe Division,Colby,94134,Water main leakage along roadside causing traffic obstruction,6.593154,3.986888,Closed,13/02/2026 04:03,Leak,Badagry Central LCDA,Badagry,Ajeromi-Ifelodun
PP20230501706,05/01/2023,Ifeanyi Akinyemi,Male,2.34814E+12,ifeanyi.akinyemi28@hotmail.com,45009210709,Ikeja Division,Alpha,94134,Cracked underground pipe slowly flooding compound,6.578002,3.421833,Closed,13/02/2026 04:03,Sanitation failure,Ayobo-Ipaja LCDA,Badagry,Ojo
PP20230720022,07/20/2023,Aisha Ogunleye,Female,2.34903E+12,aisha.ogunleye90@yahoo.com,74377727034,Badagry Division,Shafter,94124,Sewer overflow spreading wastewater near market area,6.450971,3.259686,Closed,13/02/2026 04:03,Sanitation failure,Mosan-Okunola LCDA,Epe,Epe
PP20230823597,08/23/2023,Yetunde Balogun,Female,2.34815E+12,yetunde.balogun92@hotmail.com,54448992191,Ikeja Division,Shawnee,94112,replace fuacets for bath and kitchen.,6.520279,3.351323,Closed,13/02/2026 04:03,Sanitation failure,Ayobo-Ipaja LCDA,Badagry,Ojo
PP20241023639,10/23/2024,Emeka Abiola,Male,2.34807E+12,emeka.abiola38@hotmail.com,74458644988,Lagos Island Division,Brookdale,94134,Septic tank backflow causing strong sewage odor indoors,6.444879,3.344365,Closed,13/02/2026 04:03,Sanitation failure,Ifako-Ijaiye LCDA,Badagry,Badagry
PP20250321218,03/21/2025,Olamide Ekanem,Male,2.34809E+12,olamide.ekanem28@outlook.com,16903198532,Lagos Island Division,Bradford,94110,Water main leakage along roadside causing traffic obstruction,6.457061,3.397311,Closed,13/02/2026 04:03,Leak,Ikosi-Isheri LCDA,Ikeja,Somolu
PP20251114852,11/14/2025,Oluwaseun Abiola,Male,2.34807E+12,oluwaseun.abiola56@gmail.com,31485158301,Ikeja Division,Alabama,94110,Cracked underground pipe slowly flooding compound,6.527351,3.352254,Open,13/02/2026 04:03,Sanitation failure,Ojokoro LCDA,Badagry,Amuwo-Odofin
PP20251120960,11/20/2025,Amaka Nnamdi,Female,2.34818E+12,amaka.nnamdi69@hotmail.com,49672813359,Epe Division,Mcallister,94117,renew pp20140709224 for final inspection. all work is complete,6.455846,3.580794,Closed,13/02/2026 04:03,Sanitation failure,Epe LCDA,Badagry,Ajeromi-Ifelodun
PP20131230021,12/30/2013,Opeyemi Adeyemi,Female,2.34809E+12,opeyemi.adeyemi29@gmail.com,52841527243,Badagry Division,Mission,94112,Toilet overflow due to heavily blocked drain system,6.463273,3.325277,Closed,13/02/2026 04:03,Blockage,Iba LCDA,Ikeja,Agege
PM20220201796,02/01/2022,Chinedu Akinyemi,Male,2.3481E+12,chinedu.akinyemi28@yahoo.com,31723583248,Epe Division,Divisadero,94123,Severe shower pipe rupture flooding entire bathroom,6.582387,3.987641,Closed,13/02/2026 04:03,Sanitation failure,Orile-Agege LCDA,Ikeja,Kosofe
PP20100527335,05/27/2010,Kunle Chukwu,Male,2.3491E+12,kunle.chukwu86@outlook.com,4346660863,Ikorodu Division,Treat,94110,Open manhole with visible sewage leakage on street,6.638262,3.512246,Closed,13/02/2026 04:03,Leak,Isolo LCDA,Ikeja,Ikeja
PP20251204197,12/04/2025,Adebayo Mohammed,Male,2.34902E+12,adebayo.mohammed85@gmail.com,31592045449,Lagos Island Division,Divisadero,94117,High-pressure pipe burst affecting multiple residential buildings,6.499476,3.360056,Open,13/02/2026 04:03,Leak,Apapa-Iganmu LCDA,Ikeja,Ifako-Ijaiye
PP20170927089,09/27/2017,Chinedu Yakubu,Male,2.34812E+12,chinedu.yakubu24@hotmail.com,79076083627,Epe Division,24th,94114,Septic tank backflow causing strong sewage odor indoors,6.450812,3.584735,Closed,13/02/2026 04:03,Sanitation failure,Ikotun-Ikosi LCDA,Lagos Island,Lagos Mainland
PP20110503918,05/03/2011,Femi Umeh,Male,2.34813E+12,femi.umeh77@outlook.com,31177058817,Ikeja Division,Pierce,94117,Public tap pipe severely damaged in residential community,6.616102,3.360632,Closed,13/02/2026 04:03,Sanitation failure,Apapa-Iganmu LCDA,Ikeja,Ifako-Ijaiye
PP20081030774,10/30/2008,Zainab Ibrahim,Female,2.34902E+12,zainab.ibrahim90@outlook.com,73349608236,Ikeja Division,Cervantes,94123,Minor kitchen sink pipe leakage under cabinet,6.613576,3.339015,Closed,13/02/2026 04:03,Leak,Ikosi-Isheri LCDA,Ikeja,Somolu
PP20140307804,03/07/2014,Tunde Okoye,Male,2.3482E+12,tunde.okoye84@outlook.com,44014109209,Ikeja Division,Church,94114,Sudden burst water pipe inside bathroom wall causing flooding,6.601453,3.339813,Closed,13/02/2026 04:03,Leak,Oriade LCDA,Lagos Island,Lagos Island
PP20071213370,12/13/2007,Abdulrahman Yakubu,Male,2.34807E+12,abdulrahman.yakubu96@outlook.com,77766186437,Ikeja Division,Pearl,94103,Minor kitchen sink pipe leakage under cabinet,6.626928,3.343519,Closed,13/02/2026 04:03,Leak,Agboyi-Ketu LCDA,Lagos Island,Surulere
PP20100810063,08/10/2010,Seyi Abiola,Male,2.3491E+12,seyi.abiola61@outlook.com,45316166099,Lagos Island Division,27th,94110,Flooding due to collapsed drainage system after rainfall,6.45671,3.349906,Closed,13/02/2026 04:03,Blockage,Igbogbo-Baiyeku LCDA,Badagry,Ojo
PM20190725892,07/25/2019,Yetunde Ekanem,Female,2.34905E+12,yetunde.ekanem16@gmail.com,22528455792,Ikeja Division,Tennessee,94107,Blocked drainage channel causing street-level flooding,6.629528,3.321981,Closed,13/02/2026 04:03,Blockage,Lekki LCDA,Ikeja,Oshodi-Isolo
PM20080904267,09/04/2008,Ifeanyi Mohammed,Male,2.34802E+12,ifeanyi.mohammed63@gmail.com,86503410179,Ikorodu Division,29th,94122,Water heater pipe leakage soaking utility area,6.625269,3.532405,Closed,13/02/2026 04:03,Leak,Ikeja LCDA,Epe,Epe
PM20081010953,10/10/2008,Oluwaseun Nwosu,Male,2.34808E+12,oluwaseun.nwosu29@yahoo.com,59187396252,Lagos Island Division,Lincoln,94122,Minor kitchen sink pipe leakage under cabinet,6.486995,3.355137,Closed,13/02/2026 04:03,Leak,Ikotun-Ikosi LCDA,Lagos Island,Lagos Mainland
PM20081231017,12/31/2008,Adebayo Adebisi,Male,2.34818E+12,adebayo.adebisi19@yahoo.com,92857337641,Ikeja Division,11th,94116,furnace change out.,6.670797,3.323565,Closed,13/02/2026 04:03,Sanitation failure,Itire-Ikate LCDA,Badagry,Badagry
PM20090605822,06/05/2009,Chukwudi Akinyemi,Male,2.34814E+12,chukwudi.akinyemi61@gmail.com,50684464930,Lagos Island Division,Kingston,94110,Cracked underground pipe slowly flooding compound,6.481393,3.361486,Closed,13/02/2026 04:03,Sanitation failure,Lekki LCDA,Ikeja,Oshodi-Isolo
PM20100326914,03/26/2010,Bola Abiola,Female,2.34908E+12,bola.abiola61@yahoo.com,58393452805,Ikeja Division,Folsom,94110,Cracked underground pipe slowly flooding compound,6.516677,3.359336,Closed,13/02/2026 04:03,Sanitation failure,Igbogbo-Baiyeku LCDA,Badagry,Ojo
PM20100830469,08/30/2010,Kelechi Chukwu,Male,2.34808E+12,kelechi.chukwu36@yahoo.com,57488146168,Ikorodu Division,04th,94107,Sudden burst water pipe inside bathroom wall causing flooding,6.610206,3.525999,Closed,13/02/2026 04:03,Leak,Orile-Agege LCDA,Ikeja,Kosofe
PM20120315165,03/15/2012,Chioma Balogun,Female,2.34903E+12,chioma.balogun71@hotmail.com,79837891920,Ikeja Division,Huron,94112,Severe shower pipe rupture flooding entire bathroom,6.661967,3.325379,Closed,13/02/2026 04:03,Sanitation failure,Orile-Agege LCDA,Ikeja,Kosofe
PM20120925794,09/25/2012,Adebayo Chukwu,Male,2.34816E+12,adebayo.chukwu68@gmail.com,9504585305,Epe Division,45th,94121,Toilet overflow due to heavily blocked drain system,6.592135,3.971291,Open,13/02/2026 04:03,Blockage,Oto-Awori LCDA,Lagos Island,Lagos Mainland
PM20130531193,05/31/2013,Aisha Yakubu,Female,2.34813E+12,aisha.yakubu25@gmail.com,64597071171,Badagry Division,Fair,94110,Sudden burst water pipe inside bathroom wall causing flooding,6.468975,3.346371,Closed,13/02/2026 04:03,Leak,Ebute-Metta LCDA,Lagos Island,Eti-Osa
PM20131108829,11/08/2013,Opeyemi Mohammed,Female,2.34908E+12,opeyemi.mohammed88@gmail.com,74887867581,Ikeja Division,Portola,94127,Blocked drainage channel causing street-level flooding,6.511225,3.356446,Closed,13/02/2026 04:03,Blockage,Agboyi-Ketu LCDA,Lagos Island,Surulere
PM20140710231,07/10/2014,Zainab Danladi,Female,2.34814E+12,zainab.danladi42@yahoo.com,21520343529,Ikeja Division,Brussels,94134,Severe shower pipe rupture flooding entire bathroom,6.611599,3.302818,Closed,13/02/2026 04:03,Sanitation failure,Agbado-Oke Odo LCDA,Lagos Island,Apapa
PM20140805989,08/05/2014,Emeka Okafor,Male,2.34901E+12,emeka.okafor78@outlook.com,59057970699,Ikorodu Division,Delta,94134,Severe shower pipe rupture flooding entire bathroom,6.60703,3.497295,Closed,13/02/2026 04:03,Sanitation failure,Agboyi-Ketu LCDA,Lagos Island,Surulere
PM20141217570,12/17/2014,Seyi Ogunleye,Male,2.34804E+12,seyi.ogunleye61@gmail.com,35549897533,Badagry Division,Pretor,94112,Minor kitchen sink pipe leakage under cabinet,6.466219,3.18597,Closed,13/02/2026 04:03,Leak,Iba LCDA,Ikeja,Agege
PM20150226344,02/26/2015,Oluwaseun Bamidele,Male,2.34807E+12,oluwaseun.bamidele53@yahoo.com,83651428909,Badagry Division,Golden Gate,94115,to comply with physical inspection report cc-7693. [install new flue to copmly with unit 3 for furnace].,6.417505,2.888464,Closed,13/02/2026 04:03,Sanitation failure,Mosan-Okunola LCDA,Epe,Epe
PM20150820304,08/20/2015,Yetunde Ibrahim,Female,2.34904E+12,yetunde.ibrahim32@outlook.com,33801000239,Badagry Division,18th,94110,Severe shower pipe rupture flooding entire bathroom,6.4599,3.335623,Closed,13/02/2026 04:03,Sanitation failure,Ikosi-Isheri LCDA,Ikeja,Somolu
PM20151218473,12/18/2015,Chisom Nwosu,Female,2.34802E+12,chisom.nwosu92@yahoo.com,10451292134,Ikeja Division,Fair,94110,Blocked drainage channel causing street-level flooding,6.618431,3.328856,Closed,13/02/2026 04:03,Blockage,Badagry West LCDA,Ikeja,Kosofe
PM20160711977,07/11/2016,Tunde Bamidele,Male,2.34816E+12,tunde.bamidele25@outlook.com,75829837966,Lagos Island Division,42nd,94122,Bathroom floor drain completely clogged with wastewater backup,6.515558,3.365538,Closed,13/02/2026 04:03,Blockage,Yaba LCDA,Ikeja,Alimosho
PM20161006596,10/06/2016,Ngozi Okafor,Female,2.34813E+12,ngozi.okafor27@yahoo.com,89142624410,Ikeja Division,Dartmouth,94134,Septic tank backflow causing strong sewage odor indoors,6.603587,3.342566,Closed,13/02/2026 04:03,Sanitation failure,Ojokoro LCDA,Badagry,Amuwo-Odofin
PM20170605915,06/05/2017,Abdulrahman Afolabi,Male,2.34812E+12,abdulrahman.afolabi26@outlook.com,50894070363,Ikorodu Division,Madrone,94127,Sudden burst water pipe inside bathroom wall causing flooding,6.609653,3.518371,Closed,13/02/2026 04:03,Leak,Agboyi-Ketu LCDA,Lagos Island,Surulere
PM20180816027,08/16/2018,Adebayo Ojo,Male,2.34902E+12,adebayo.ojo61@gmail.com,46346020214,Badagry Division,Oak Park,94131,Underground water pipe burst near hospital entrance,6.472586,3.174793,Closed,13/02/2026 04:03,Leak,Mosan-Okunola LCDA,Epe,Epe
PM20181116742,11/16/2018,Obinna Owolabi,Male,2.3481E+12,obinna.owolabi65@gmail.com,94987204248,Ikeja Division,Duncan,94131,Cracked underground pipe slowly flooding compound,6.563234,3.312228,Closed,13/02/2026 04:03,Sanitation failure,Ebute-Metta LCDA,Lagos Island,Eti-Osa
PM20190624016,06/24/2019,Obinna Balogun,Male,2.34811E+12,obinna.balogun63@gmail.com,829484286,Ikeja Division,22nd,94114,Bathroom floor drain completely clogged with wastewater backup,6.561821,3.327068,Closed,13/02/2026 04:03,Blockage,Agbado-Oke Odo LCDA,Lagos Island,Apapa
PM20191205759,12/05/2019,Olamide Umeh,Male,2.34812E+12,olamide.umeh26@outlook.com,67418219947,Ikeja Division,Funston,94116,Water main leakage along roadside causing traffic obstruction,6.613046,3.328463,Closed,13/02/2026 04:03,Leak,Ikosi-Isheri LCDA,Ikeja,Somolu
PM20200916066,09/16/2020,Adaeze Mohammed,Female,2.34819E+12,adaeze.mohammed46@yahoo.com,25817962051,Ikeja Division,08th,94122,Open manhole with visible sewage leakage on street,6.660905,3.320442,Closed,13/02/2026 04:03,Leak,Badagry West LCDA,Ikeja,Kosofe
PM20210126942,01/26/2021,Chinedu Okoye,Male,2.34905E+12,chinedu.okoye81@outlook.com,24715063088,Badagry Division,Dellbrook,94131,Bathroom floor drain completely clogged with wastewater backup,6.460229,3.186412,Closed,13/02/2026 04:03,Blockage,Orile-Agege LCDA,Ikeja,Kosofe
PM20210706735,07/06/2021,Ifeanyi Ibrahim,Male,2.34817E+12,ifeanyi.ibrahim47@outlook.com,25635895656,Badagry Division,Laidley,94131,Water heater pipe leakage soaking utility area,6.417767,2.893272,Closed,13/02/2026 04:03,Leak,Ikeja LCDA,Epe,Epe
PM20211015904,10/15/2021,Opeyemi Adeyemi,Female,2.34807E+12,opeyemi.adeyemi81@hotmail.com,5825366837,Ikorodu Division,Treat,94110,Persistent dripping tap in kitchen wasting water daily,6.61953,3.525035,Closed,13/02/2026 04:03,Sanitation failure,Agboyi-Ketu LCDA,Lagos Island,Surulere
PM20211025112,10/25/2021,Ijeoma Bamidele,Female,2.34903E+12,ijeoma.bamidele45@yahoo.com,77757591256,Lagos Island Division,Lincoln,94122,furnace.,6.521753,3.406402,Closed,13/02/2026 04:03,Sanitation failure,Onigbongbo LCDA,Epe,Ibeju-Lekki
PM20220906898,09/06/2022,Obinna Abiola,Male,2.34905E+12,obinna.abiola34@outlook.com,30357390465,Ikeja Division,Mission,94103,new furnace,6.621757,3.327428,Closed,13/02/2026 04:03,Sanitation failure,Ifako-Ijaiye LCDA,Badagry,Badagry
PM20220921149,09/21/2022,Chinedu Nwosu,Male,2.34812E+12,chinedu.nwosu51@outlook.com,26346133563,Badagry Division,45th,94116,Persistent dripping tap in kitchen wasting water daily,6.455991,3.338125,Closed,13/02/2026 04:03,Sanitation failure,Ojokoro LCDA,Badagry,Amuwo-Odofin
