,Job Request ID ,Application Date,Customer Name,Gender,Contact Number,Email Address,National ID Number,Administrative Division (Lagos),LGA Zone,Street Name,Zipcode,Description of Need,Latitude,Longitude,Job Status,Completed Date and time
20,PP20160309582,2016-03-09,Chinedu Adebisi,Male,2348198298008,chinedu.adebisi78@hotmail.com,97926253567,Badagry Division,Ojo,09th,94122.0,High-pressure pipe burst affecting multiple residential buildings,6.468385,3.184714,Closed,2026-02-13 04:03:00
21,PP20160425897,2016-04-25,Zainab Ogunleye,Female,2348135364967,zainab.ogunleye45@gmail.com,53868240700,Ikeja Division,Oshodi-Isolo,Oak,94102.0,(1) shower pan.,6.552444,3.305089,Closed,2026-02-13 04:03:00
22,PP20160809928,2016-08-09,Obinna Ibrahim,Male,2348100753723,obinna.ibrahim57@outlook.com,67216940125,Ikeja Division,Agege,Ellington,94112.0,Minor kitchen sink pipe leakage under cabinet,6.600715,3.328802,Closed,2026-02-13 04:03:00
23,PP20170126470,2017-01-26,Opeyemi Oladipo,Female,2348086336570,opeyemi.oladipo76@gmail.com,7147475672,Lagos Island Division,Surulere,Mission,94112.0,Cracked underground pipe slowly flooding compound,6.492294,3.371371,Closed,2026-02-13 04:03:00
24,PP20170420726,2017-04-20,Chukwudi Adebisi,Male,2349096666997,chukwudi.adebisi63@gmail.com,49685907503,Lagos Island Division,Apapa,21st,94110.0,Sewer overflow spreading wastewater near market area,6.452236,3.34137,Closed,2026-02-13 04:03:00
25,PP20170601834,2017-06-01,Abdulrahman Yakubu,Male,2348118166387,abdulrahman.yakubu45@hotmail.com,59094267292,Badagry Division,Badagry,Grant,94133.0,Water heater pipe leakage soaking utility area,6.418241,2.881149,Closed,2026-02-13 04:03:00
26,PP20171006321,2017-10-06,Chinedu Umeh,Male,2348140117039,chinedu.umeh31@yahoo.com,25525876676,Ikeja Division,Ifako-Ijaiye,Persia,94112.0,Flooding due to collapsed drainage system after rainfall,6.663031,3.334717,Closed,2026-02-13 04:03:00
27,PP20180312574,2018-03-12,Emeka Owolabi,Male,2348144867864,emeka.owolabi71@gmail.com,27709440553,Lagos Island Division,Lagos Mainland,29th,94131.0,Water main leakage along roadside causing traffic obstruction,6.53471,3.388513,Closed,2026-02-13 04:03:00
28,PP20180524678,2018-05-24,Chioma Adeyemi,Female,2348154954822,chioma.adeyemi12@hotmail.com,55041688866,Lagos Island Division,Apapa,41st,94121.0,Public tap pipe severely damaged in residential community,6.440408,3.355908,Closed,2026-02-13 04:03:00
29,PP20181120841,2018-11-20,Emeka Okafor,Male,2348176652646,emeka.okafor17@hotmail.com,5477305904,Ikeja Division,Ifako-Ijaiye,Liebig,94112.0,Major pipe burst near primary school disrupting access road,6.673113,3.338355,Closed,2026-02-13 04:03:00
30,PP20190214154,2019-02-14,Abdulrahman Nwosu,Male,2349015703009,abdulrahman.nwosu48@yahoo.com,42454062642,Badagry Division,Badagry,Scott,94115.0,Persistent dripping tap in kitchen wasting water daily,6.410208,2.883143,Closed,2026-02-13 04:03:00
31,PP20190826826,2019-08-26,Oluwaseun Ibrahim,Male,2348147690130,oluwaseun.ibrahim12@yahoo.com,50533480231,Ikeja Division,Ikeja,Nobles,94133.0,Septic tank backflow causing strong sewage odor indoors,6.590737,3.339538,Closed,2026-02-13 04:03:00
32,PP20191010180,2019-10-10,Adebayo Umeh,Male,2348182777554,adebayo.umeh89@hotmail.com,86085105695,Ikeja Division,Alimosho,Mission,94110.0,Water main leakage along roadside causing traffic obstruction,6.617125,3.308562,Closed,2026-02-13 04:03:00
33,PP20200205393,2020-02-05,Obinna Eze,Male,2348113960869,obinna.eze10@gmail.com,65718886802,Epe Division,Epe,California,94115.0,Low water pressure affecting entire household supply,6.58328,3.993635,Closed,2026-02-13 04:03:00
34,PP20200828816,2020-08-28,Emeka Okoye,Male,2348188615932,emeka.okoye35@hotmail.com,10402552365,Epe Division,Epe,Brussels,94134.0,"replace ten feet of 1"" gas line.",6.587616,3.977149,Closed,2026-02-13 04:03:00
35,PP20210226458,2021-02-26,Ngozi Chukwu,Female,2348035758417,ngozi.chukwu21@yahoo.com,18516993098,Ikorodu Division,Ikorodu,Capra,94123.0,unit 306: relocate kitchen. rehabilitate existing bathroom. install washer & dryer. rewire unit.,6.623014,3.52588,Closed,2026-02-13 04:03:00
36,PP20210326008,2021-03-26,Kelechi Ajayi,Male,2349089359784,kelechi.ajayi94@gmail.com,97423297470,Ikeja Division,Agege,Hayes,94117.0,unit 10: kitchen & bath remodel,6.615142,3.351646,Closed,2026-02-13 04:03:00
37,PP20210429562,2021-04-29,Abdulrahman Akinyemi,Male,2348083468955,abdulrahman.akinyemi62@gmail.com,89202169362,Ikeja Division,Ifako-Ijaiye,Connecticut,94107.0,Sudden burst water pipe inside bathroom wall causing flooding,6.643603,3.336819,Open,2026-02-13 04:03:00
38,PP20210603138,2021-06-03,Chisom Adeyemi,Female,2348103264115,chisom.adeyemi85@gmail.com,56645235262,Badagry Division,Ajeromi-Ifelodun,Elizabeth,94114.0,bathroom remodel,6.46757,3.33031,Closed,2026-02-13 04:03:00
39,PP20211012793,2021-10-12,Aisha Ojo,Female,2348100511690,aisha.ojo27@outlook.com,83158991348,Lagos Island Division,Eti-Osa,Utah,94103.0,Major pipe burst near primary school disrupting access road,6.434018,3.402024,Closed,2026-02-13 04:03:00
40,PP20211214014,2021-12-14,Oluwaseun Ajayi,Male,2349056765825,oluwaseun.ajayi28@outlook.com,64583146307,Ikeja Division,Ifako-Ijaiye,Utah,94110.0,Public tap pipe severely damaged in residential community,6.667603,3.332171,Closed,2026-02-13 04:03:00
41,PP20220523021,2022-05-23,Olamide Adebisi,Male,2349031009231,olamide.adebisi79@hotmail.com,49129943887,Lagos Island Division,Surulere,Balboa,94118.0,High-pressure pipe burst affecting multiple residential buildings,6.511679,3.355617,Closed,2026-02-13 04:03:00
42,PP20220811473,2022-08-11,Kelechi Oladipo,Male,2348150369558,kelechi.oladipo80@outlook.com,14776327794,Ikeja Division,Ikeja,26th,94116.0,Toilet overflow due to heavily blocked drain system,6.593715,3.346482,Closed,2026-02-13 04:03:00
43,PP20220927259,2022-09-27,Oluwaseun Ajayi,Male,2348171340775,oluwaseun.ajayi37@outlook.com,24371795329,Epe Division,Epe,Colby,94134.0,Water main leakage along roadside causing traffic obstruction,6.593154,3.986888,Closed,2026-02-13 04:03:00
44,PP20230501706,2023-05-01,Ifeanyi Akinyemi,Male,2348144722142,ifeanyi.akinyemi28@hotmail.com,45009210709,Ikeja Division,Kosofe,Alpha,94134.0,Cracked underground pipe slowly flooding compound,6.578002,3.421833,Closed,2026-02-13 04:03:00
45,PP20230720022,2023-07-20,Aisha Ogunleye,Female,2349025713600,aisha.ogunleye90@yahoo.com,74377727034,Badagry Division,Amuwo-Odofin,Shafter,94124.0,Sewer overflow spreading wastewater near market area,6.450971,3.259686,Closed,2026-02-13 04:03:00
46,PP20230823597,2023-08-23,Yetunde Balogun,Female,2348149660034,yetunde.balogun92@hotmail.com,54448992191,Ikeja Division,Mushin,Shawnee,94112.0,replace fuacets for bath and kitchen.,6.520279,3.351323,Closed,2026-02-13 04:03:00
47,PP20241023639,2024-10-23,Emeka Abiola,Male,2348073768690,emeka.abiola38@hotmail.com,74458644988,Lagos Island Division,Apapa,Brookdale,94134.0,Septic tank backflow causing strong sewage odor indoors,6.444879,3.344365,Closed,2026-02-13 04:03:00
48,PP20250321218,2025-03-21,Olamide Ekanem,Male,2348090697823,olamide.ekanem28@outlook.com,16903198532,Lagos Island Division,Lagos Island,Bradford,94110.0,Water main leakage along roadside causing traffic obstruction,6.457061,3.397311,Closed,2026-02-13 04:03:00
49,PP20251114852,2025-11-14,Oluwaseun Abiola,Male,2348068629467,oluwaseun.abiola56@gmail.com,31485158301,Ikeja Division,Mushin,Alabama,94110.0,Cracked underground pipe slowly flooding compound,6.527351,3.352254,Open,2026-02-13 04:03:00
50,PP20251120960,2025-11-20,Amaka Nnamdi,Female,2348180161681,amaka.nnamdi69@hotmail.com,49672813359,Epe Division,Ibeju-Lekki,Mcallister,94117.0,renew pp20140709224 for final inspection. all work is complete,6.455846,3.580794,Closed,2026-02-13 04:03:00
51,PP20131230021,2013-12-30,Opeyemi Adeyemi,Female,2348093164042,opeyemi.adeyemi29@gmail.com,52841527243,Badagry Division,Ajeromi-Ifelodun,Mission,94112.0,Toilet overflow due to heavily blocked drain system,6.463273,3.325277,Closed,2026-02-13 04:03:00
52,PM20220201796,2022-02-01,Chinedu Akinyemi,Male,2348095741875,chinedu.akinyemi28@yahoo.com,31723583248,Epe Division,Epe,Divisadero,94123.0,Severe shower pipe rupture flooding entire bathroom,6.582387,3.987641,Closed,2026-02-13 04:03:00
53,PP20100527335,2010-05-27,Kunle Chukwu,Male,2349096862561,kunle.chukwu86@outlook.com,4346660863,Ikorodu Division,Ikorodu,Treat,94110.0,Open manhole with visible sewage leakage on street,6.638262,3.512246,Closed,2026-02-13 04:03:00
54,PP20251204197,2025-12-04,Adebayo Mohammed,Male,2349023950846,adebayo.mohammed85@gmail.com,31592045449,Lagos Island Division,Surulere,Divisadero,94117.0,High-pressure pipe burst affecting multiple residential buildings,6.499476,3.360056,Open,2026-02-13 04:03:00
55,PP20170927089,2017-09-27,Chinedu Yakubu,Male,2348118002519,chinedu.yakubu24@hotmail.com,79076083627,Epe Division,Ibeju-Lekki,24th,94114.0,Septic tank backflow causing strong sewage odor indoors,6.450812,3.584735,Closed,2026-02-13 04:03:00
56,PP20110503918,2011-05-03,Femi Umeh,Male,2348130043032,femi.umeh77@outlook.com,31177058817,Ikeja Division,Agege,Pierce,94117.0,Public tap pipe severely damaged in residential community,6.616102,3.360632,Closed,2026-02-13 04:03:00
57,PP20081030774,2008-10-30,Zainab Ibrahim,Female,2349018063494,zainab.ibrahim90@outlook.com,73349608236,Ikeja Division,Agege,Cervantes,94123.0,Minor kitchen sink pipe leakage under cabinet,6.613576,3.339015,Closed,2026-02-13 04:03:00
58,PP20140307804,2014-03-07,Tunde Okoye,Male,2348195816543,tunde.okoye84@outlook.com,44014109209,Ikeja Division,Ikeja,Church,94114.0,Sudden burst water pipe inside bathroom wall causing flooding,6.601453,3.339813,Closed,2026-02-13 04:03:00
59,PP20071213370,2007-12-13,Abdulrahman Yakubu,Male,2348065345468,abdulrahman.yakubu96@outlook.com,77766186437,Ikeja Division,Agege,Pearl,94103.0,Minor kitchen sink pipe leakage under cabinet,6.626928,3.343519,Closed,2026-02-13 04:03:00
60,PP20100810063,2010-08-10,Seyi Abiola,Male,2349096630730,seyi.abiola61@outlook.com,45316166099,Lagos Island Division,Apapa,27th,94110.0,Flooding due to collapsed drainage system after rainfall,6.45671,3.349906,Closed,2026-02-13 04:03:00
61,PM20190725892,2019-07-25,Yetunde Ekanem,Female,2349047377282,yetunde.ekanem16@gmail.com,22528455792,Ikeja Division,Agege,Tennessee,94107.0,Blocked drainage channel causing street-level flooding,6.629528,3.321981,Closed,2026-02-13 04:03:00
62,PM20080904267,2008-09-04,Ifeanyi Mohammed,Male,2348021591500,ifeanyi.mohammed63@gmail.com,86503410179,Ikorodu Division,Ikorodu,29th,94122.0,Water heater pipe leakage soaking utility area,6.625269,3.532405,Closed,2026-02-13 04:03:00
63,PM20081010953,2008-10-10,Oluwaseun Nwosu,Male,2348079872202,oluwaseun.nwosu29@yahoo.com,59187396252,Lagos Island Division,Surulere,Lincoln,94122.0,Minor kitchen sink pipe leakage under cabinet,6.486995,3.355137,Closed,2026-02-13 04:03:00
64,PM20081231017,2008-12-31,Adebayo Adebisi,Male,2348180704863,adebayo.adebisi19@yahoo.com,92857337641,Ikeja Division,Ifako-Ijaiye,11th,94116.0,furnace change out.,6.670797,3.323565,Closed,2026-02-13 04:03:00
65,PM20090605822,2009-06-05,Chukwudi Akinyemi,Male,2348138819953,chukwudi.akinyemi61@gmail.com,50684464930,Lagos Island Division,Surulere,Kingston,94110.0,Cracked underground pipe slowly flooding compound,6.481393,3.361486,Closed,2026-02-13 04:03:00
66,PM20100326914,2010-03-26,Bola Abiola,Female,2349076698450,bola.abiola61@yahoo.com,58393452805,Ikeja Division,Mushin,Folsom,94110.0,Cracked underground pipe slowly flooding compound,6.516677,3.359336,Closed,2026-02-13 04:03:00
67,PM20100830469,2010-08-30,Kelechi Chukwu,Male,2348081587897,kelechi.chukwu36@yahoo.com,57488146168,Ikorodu Division,Ikorodu,04th,94107.0,Sudden burst water pipe inside bathroom wall causing flooding,6.610206,3.525999,Closed,2026-02-13 04:03:00
68,PM20120315165,2012-03-15,Chioma Balogun,Female,2349027555290,chioma.balogun71@hotmail.com,79837891920,Ikeja Division,Ifako-Ijaiye,Huron,94112.0,Severe shower pipe rupture flooding entire bathroom,6.661967,3.325379,Closed,2026-02-13 04:03:00
69,PM20120925794,2012-09-25,Adebayo Chukwu,Male,2348163959166,adebayo.chukwu68@gmail.com,9504585305,Epe Division,Epe,45th,94121.0,Toilet overflow due to heavily blocked drain system,6.592135,3.971291,Open,2026-02-13 04:03:00
70,PM20130531193,2013-05-31,Aisha Yakubu,Female,2348133301897,aisha.yakubu25@gmail.com,64597071171,Badagry Division,Ajeromi-Ifelodun,Fair,94110.0,Sudden burst water pipe inside bathroom wall causing flooding,6.468975,3.346371,Closed,2026-02-13 04:03:00
71,PM20131108829,2013-11-08,Opeyemi Mohammed,Female,2349078689152,opeyemi.mohammed88@gmail.com,74887867581,Ikeja Division,Mushin,Portola,94127.0,Blocked drainage channel causing street-level flooding,6.511225,3.356446,Closed,2026-02-13 04:03:00
72,PM20140710231,2014-07-10,Zainab Danladi,Female,2348135273958,zainab.danladi42@yahoo.com,21520343529,Ikeja Division,Alimosho,Brussels,94134.0,Severe shower pipe rupture flooding entire bathroom,6.611599,3.302818,Closed,2026-02-13 04:03:00
73,PM20140805989,2014-08-05,Emeka Okafor,Male,2349011611387,emeka.okafor78@outlook.com,59057970699,Ikorodu Division,Ikorodu,Delta,94134.0,Severe shower pipe rupture flooding entire bathroom,6.60703,3.497295,Closed,2026-02-13 04:03:00
74,PM20141217570,2014-12-17,Seyi Ogunleye,Male,2348037319659,seyi.ogunleye61@gmail.com,35549897533,Badagry Division,Ojo,Pretor,94112.0,Minor kitchen sink pipe leakage under cabinet,6.466219,3.18597,Closed,2026-02-13 04:03:00
75,PM20150226344,2015-02-26,Oluwaseun Bamidele,Male,2348070170214,oluwaseun.bamidele53@yahoo.com,83651428909,Badagry Division,Badagry,Golden Gate,94115.0,to comply with physical inspection report cc-7693. [install new flue to copmly with unit 3 for furnace].,6.417505,2.888464,Closed,2026-02-13 04:03:00
76,PM20150820304,2015-08-20,Yetunde Ibrahim,Female,2349036473531,yetunde.ibrahim32@outlook.com,33801000239,Badagry Division,Ajeromi-Ifelodun,18th,94110.0,Severe shower pipe rupture flooding entire bathroom,6.4599,3.335623,Closed,2026-02-13 04:03:00
77,PM20151218473,2015-12-18,Chisom Nwosu,Female,2348020734767,chisom.nwosu92@yahoo.com,10451292134,Ikeja Division,Agege,Fair,94110.0,Blocked drainage channel causing street-level flooding,6.618431,3.328856,Closed,2026-02-13 04:03:00
78,PM20160711977,2016-07-11,Tunde Bamidele,Male,2348157591500,tunde.bamidele25@outlook.com,75829837966,Lagos Island Division,Surulere,42nd,94122.0,Bathroom floor drain completely clogged with wastewater backup,6.515558,3.365538,Closed,2026-02-13 04:03:00
79,PM20161006596,2016-10-06,Ngozi Okafor,Female,2348132240956,ngozi.okafor27@yahoo.com,89142624410,Ikeja Division,Agege,Dartmouth,94134.0,Septic tank backflow causing strong sewage odor indoors,6.603587,3.342566,Closed,2026-02-13 04:03:00
80,PM20170605915,2017-06-05,Abdulrahman Afolabi,Male,2348122399999,abdulrahman.afolabi26@outlook.com,50894070363,Ikorodu Division,Ikorodu,Madrone,94127.0,Sudden burst water pipe inside bathroom wall causing flooding,6.609653,3.518371,Closed,2026-02-13 04:03:00
81,PM20180816027,2018-08-16,Adebayo Ojo,Male,2349020799107,adebayo.ojo61@gmail.com,46346020214,Badagry Division,Ojo,Oak Park,94131.0,Underground water pipe burst near hospital entrance,6.472586,3.174793,Closed,2026-02-13 04:03:00
82,PM20181116742,2018-11-16,Obinna Owolabi,Male,2348096385100,obinna.owolabi65@gmail.com,94987204248,Ikeja Division,Oshodi-Isolo,Duncan,94131.0,Cracked underground pipe slowly flooding compound,6.563234,3.312228,Closed,2026-02-13 04:03:00
83,PM20190624016,2019-06-24,Obinna Balogun,Male,2348113423738,obinna.balogun63@gmail.com,829484286,Ikeja Division,Oshodi-Isolo,22nd,94114.0,Bathroom floor drain completely clogged with wastewater backup,6.561821,3.327068,Closed,2026-02-13 04:03:00
84,PM20191205759,2019-12-05,Olamide Umeh,Male,2348115196852,olamide.umeh26@outlook.com,67418219947,Ikeja Division,Agege,Funston,94116.0,Water main leakage along roadside causing traffic obstruction,6.613046,3.328463,Closed,2026-02-13 04:03:00
85,PM20200916066,2020-09-16,Adaeze Mohammed,Female,2348186402462,adaeze.mohammed46@yahoo.com,25817962051,Ikeja Division,Ifako-Ijaiye,08th,94122.0,Open manhole with visible sewage leakage on street,6.660905,3.320442,Closed,2026-02-13 04:03:00
86,PM20210126942,2021-01-26,Chinedu Okoye,Male,2349054095701,chinedu.okoye81@outlook.com,24715063088,Badagry Division,Ojo,Dellbrook,94131.0,Bathroom floor drain completely clogged with wastewater backup,6.460229,3.186412,Closed,2026-02-13 04:03:00
87,PM20210706735,2021-07-06,Ifeanyi Ibrahim,Male,2348173189773,ifeanyi.ibrahim47@outlook.com,25635895656,Badagry Division,Badagry,Laidley,94131.0,Water heater pipe leakage soaking utility area,6.417767,2.893272,Closed,2026-02-13 04:03:00
88,PM20211015904,2021-10-15,Opeyemi Adeyemi,Female,2348073817109,opeyemi.adeyemi81@hotmail.com,5825366837,Ikorodu Division,Ikorodu,Treat,94110.0,Persistent dripping tap in kitchen wasting water daily,6.61953,3.525035,Closed,2026-02-13 04:03:00
89,PM20211025112,2021-10-25,Ijeoma Bamidele,Female,2349028286909,ijeoma.bamidele45@yahoo.com,77757591256,Lagos Island Division,Lagos Mainland,Lincoln,94122.0,furnace.,6.521753,3.406402,Closed,2026-02-13 04:03:00
90,PM20220906898,2022-09-06,Obinna Abiola,Male,2349048284895,obinna.abiola34@outlook.com,30357390465,Ikeja Division,Agege,Mission,94103.0,new furnace,6.621757,3.327428,Closed,2026-02-13 04:03:00
91,PM20220921149,2022-09-21,Chinedu Nwosu,Male,2348116676885,chinedu.nwosu51@outlook.com,26346133563,Badagry Division,Ajeromi-Ifelodun,45th,94116.0,Persistent dripping tap in kitchen wasting water daily,6.455991,3.338125,Closed,2026-02-13 04:03:00
92,PM20221115139,2022-11-15,Chinedu Adebisi,Male,2349061800254,chinedu.adebisi22@hotmail.com,90040282284,Badagry Division,Ojo,Lexington,94110.0,Toilet overflow due to heavily blocked drain system,6.458765,3.19014,Closed,2026-02-13 04:03:00
93,PM20230315975,2023-03-15,Chioma Ibrahim,Female,2348038933479,chioma.ibrahim88@yahoo.com,79856663116,Lagos Island Division,Lagos Mainland,31st,94116.0,Water pipeline rupture near highway causing erosion,6.529132,3.378472,Closed,2026-02-13 04:03:00
94,PM20230907868,2023-09-07,Opeyemi Bamidele,Female,2348064352759,opeyemi.bamidele60@yahoo.com,96967245779,Badagry Division,Ojo,28th,94116.0,Sudden burst water pipe inside bathroom wall causing flooding,6.452532,3.167852,Closed,2026-02-13 04:03:00
95,PM20230915041,2023-09-15,Adaeze Balogun,Female,2348071996106,adaeze.balogun86@hotmail.com,23539349611,Lagos Island Division,Surulere,Holyoke,94134.0,2 new furnaces in garage,6.492435,3.369364,Closed,2026-02-13 04:03:00
96,PM20240124981,2024-01-24,Adaeze Adebisi,Female,2349040339681,adaeze.adebisi42@outlook.com,98342197305,Lagos Island Division,Surulere,25th,94122.0,Blocked drainage channel causing street-level flooding,6.499041,3.348343,Closed,2026-02-13 04:03:00
97,PM20240920077,2024-09-20,Ijeoma Oladipo,Female,2348160169530,ijeoma.oladipo34@hotmail.com,51176190791,Lagos Island Division,Lagos Island,Los Palmos,94127.0,Toilet overflow due to heavily blocked drain system,6.455832,3.398553,Open,2026-02-13 04:03:00
98,PM20240925167,2024-09-25,Ifeanyi Mohammed,Male,2348150406001,ifeanyi.mohammed67@hotmail.com,45901931532,Ikeja Division,Oshodi-Isolo,Longview,94131.0,install mini split.,6.544761,3.309637,Closed,2026-02-13 04:03:00
99,PM20241004324,2024-10-04,Adaeze Ojo,Female,2348159208974,adaeze.ojo96@yahoo.com,58712196802,Ikeja Division,Kosofe,Brunswick,94112.0,Bathroom floor drain completely clogged with wastewater backup,6.583882,3.40527,Closed,2026-02-13 04:03:00
100,PM20250226776,2025-02-26,Amaka Owolabi,Female,2348151450381,amaka.owolabi12@hotmail.com,53990866087,Ikeja Division,Kosofe,22nd,94116.0,Persistent dripping tap in kitchen wasting water daily,6.586878,3.422308,Closed,2026-02-13 04:03:00
101,PM20260123998,2026-01-23,Temitope Umeh,Female,2348070335982,temitope.umeh25@yahoo.com,94308713362,Badagry Division,Ojo,33rd,94121.0,Low water pressure affecting entire household supply,6.471831,3.193538,Closed,2026-02-13 04:03:00
102,PP20070417401,2007-04-17,Tunde Ojo,Male,2348115691955,tunde.ojo32@yahoo.com,76938526574,Ikeja Division,Mushin,Treat,94110.0,Public tap pipe severely damaged in residential community,6.513523,3.345222,Closed,2026-02-13 04:03:00
103,PP20070426892,2007-04-26,Tunde Ibrahim,Male,2349011190471,tunde.ibrahim39@outlook.com,50702157766,Lagos Island Division,Apapa,Geary,94118.0,flue,6.45395,3.364138,Closed,2026-02-13 04:03:00
104,PP200705011039,2007-05-01,Kelechi Ibrahim,Male,2348154794125,kelechi.ibrahim19@gmail.com,74212260659,Epe Division,Ibeju-Lekki,Clipper,94114.0,Septic tank backflow causing strong sewage odor indoors,6.47515,3.623527,Closed,2026-02-13 04:03:00
105,PP200705011049,2007-05-01,Amaka Yakubu,Female,2348134334181,amaka.yakubu31@hotmail.com,19081388011,Ikeja Division,Agege,Alabama,94110.0,Major pipe burst near primary school disrupting access road,6.621209,3.347356,Closed,2026-02-13 04:03:00
106,PP200706072369,2007-06-07,Temitope Nwosu,Female,2348121982963,temitope.nwosu65@gmail.com,17797376702,Lagos Island Division,Lagos Island,29th,94121.0,Minor kitchen sink pipe leakage under cabinet,6.46364,3.401214,Closed,2026-02-13 04:03:00
