,Plumber ID,Plumber Certificate ID,Plumber Name,Administrative Division,LGA Zone,Base Latitude,Base Longitude,Active Jobs,Rating
35,36,LAG-PC-236380,Obinna Ajayi,Lagos Island Division,Apapa,6.442939,3.364013,1,5.0
36,37,LAG-PC-761708,Oluwaseun Ekanem,Lagos Island Division,Lagos Island,6.458925,3.393869,1,5.0
37,38,LAG-PC-816926,Bola Nwosu,Lagos Island Division,Surulere,6.502895,3.363911,2,4.16
38,39,LAG-PC-983010,Ifeanyi Balogun,Lagos Island Division,Surulere,6.488119,3.359567,3,4.69
39,40,LAG-PC-446882,Chinedu Balogun,Lagos Island Division,Apapa,6.448138,3.355156,3,4.26
40,41,LAG-PC-223757,Adebayo Eze,Lagos Island Division,Eti-Osa,6.43776,3.422856,1,4.59
41,42,LAG-PC-073073,Amaka Eze,Lagos Island Division,Eti-Osa,6.430165,3.418117,0,4.09
42,43,LAG-PC-573282,Kelechi Yakubu,Lagos Island Division,Surulere,6.49224,3.367693,1,4.62
43,44,LAG-PC-811152,Seyi Oladipo,Lagos Island Division,Lagos Island,6.455658,3.388101,3,4.7
44,45,LAG-PC-830304,Opeyemi Ajayi,Lagos Island Division,Lagos Mainland,6.517613,3.387659,0,4.56
45,46,LAG-PC-377620,Chinedu Eze,Lagos Island Division,Surulere,6.497739,3.356317,0,4.37
46,47,LAG-PC-025655,Emeka Abiola,Lagos Island Division,Lagos Mainland,6.528163,3.371303,0,4.35
47,48,LAG-PC-525714,Femi Owolabi,Lagos Island Division,Apapa,6.442046,3.36672,3,4.83
48,49,LAG-PC-004232,Bola Yakubu,Lagos Island Division,Eti-Osa,6.439449,3.41925,1,4.7
49,50,LAG-PC-004528,Opeyemi Nnamdi,Lagos Island Division,Lagos Island,6.458701,3.386273,0,4.36
50,51,LAG-PC-470420,Opeyemi Yakubu,Lagos Island Division,Lagos Island,6.456259,3.402274,2,4.21
51,52,LAG-PC-346021,Tunde Umeh,Lagos Island Division,Lagos Island,6.447973,3.392321,0,4.17
52,53,LAG-PC-895927,Emeka Okafor,Lagos Island Division,Lagos Mainland,6.528911,3.380657,1,3.7
53,54,LAG-PC-715619,Ayomide Ibrahim,Lagos Island Division,Eti-Osa,6.427708,3.422402,0,4.8
54,55,LAG-PC-190708,Oluwaseun Okoye,Lagos Island Division,Lagos Mainland,6.528254,3.378398,3,4.76
55,56,LAG-PC-569692,Chinedu Ajayi,Lagos Island Division,Lagos Mainland,6.526046,3.385587,2,4.0
56,57,LAG-PC-187968,Seyi Ojo,Lagos Island Division,Lagos Island,6.460057,3.396252,2,4.61
57,58,LAG-PC-330726,Kelechi Adeyemi,Lagos Island Division,Surulere,6.493921,3.355005,2,5.0
58,59,LAG-PC-116528,Ijeoma Adebisi,Lagos Island Division,Surulere,6.506791,3.360582,2,4.64
59,60,LAG-PC-959950,Tunde Akinyemi,Badagry Division,Amuwo-Odofin,6.452554,3.25045,3,4.7
60,61,LAG-PC-395540,Emeka Owolabi,Badagry Division,Ajeromi-Ifelodun,6.474408,3.337376,0,4.23
61,62,LAG-PC-744635,Abdulrahman Adebisi,Badagry Division,Ojo,6.466448,3.174646,2,4.65
62,63,LAG-PC-326731,Amaka Afolabi,Badagry Division,Amuwo-Odofin,6.446513,3.243486,3,3.88
63,64,LAG-PC-920729,Temitope Ajayi,Badagry Division,Badagry,6.412193,2.886195,1,4.45
64,65,LAG-PC-694946,Chisom Nwosu,Badagry Division,Badagry,6.422025,2.89529,0,4.75
65,66,LAG-PC-840990,Olamide Owolabi,Badagry Division,Amuwo-Odofin,6.452789,3.251819,2,5.0
66,67,LAG-PC-158740,Amaka Abiola,Badagry Division,Ajeromi-Ifelodun,6.470799,3.337216,2,3.92
67,68,LAG-PC-645629,Tunde Ibrahim,Badagry Division,Amuwo-Odofin,6.44773,3.252992,1,4.85
68,69,LAG-PC-245840,Opeyemi Afolabi,Badagry Division,Badagry,6.421711,2.885762,0,4.23
69,70,LAG-PC-349946,Chukwudi Ojo,Badagry Division,Badagry,6.423208,2.872876,1,4.36
70,71,LAG-PC-304699,Femi Owolabi,Badagry Division,Badagry,6.416312,2.879561,3,5.0
71,72,LAG-PC-543139,Chinedu Balogun,Badagry Division,Ajeromi-Ifelodun,6.468712,3.336349,0,4.17
72,73,LAG-PC-929074,Amaka Bamidele,Badagry Division,Ajeromi-Ifelodun,6.46581,3.336744,0,4.59
73,74,LAG-PC-376103,Ijeoma Umeh,Badagry Division,Amuwo-Odofin,6.44971,3.254414,0,4.07
74,75,LAG-PC-712002,Chisom Danladi,Badagry Division,Amuwo-Odofin,6.447488,3.259496,1,5.0
75,76,LAG-PC-420079,Chisom Eze,Badagry Division,Badagry,6.412899,2.884019,1,4.89
76,77,LAG-PC-121260,Ijeoma Ibrahim,Badagry Division,Ajeromi-Ifelodun,6.460308,3.342681,0,4.37
77,78,LAG-PC-979991,Temitope Adebisi,Badagry Division,Badagry,6.408106,2.875011,3,4.64
78,79,LAG-PC-286394,Oluwaseun Ojo,Badagry Division,Ajeromi-Ifelodun,6.470063,3.342119,3,4.56
79,80,LAG-PC-173848,Chinedu Owolabi,Badagry Division,Amuwo-Odofin,6.454833,3.249828,3,4.39
80,81,LAG-PC-394872,Amaka Adebisi,Ikorodu Division,Ikorodu,6.616136,3.518308,0,3.52
81,82,LAG-PC-023106,Ifeanyi Okoye,Ikorodu Division,Ikorodu,6.614708,3.510584,0,4.48
82,83,LAG-PC-764066,Tunde Ojo,Ikorodu Division,Ikorodu,6.626796,3.51269,1,3.96
83,84,LAG-PC-828003,Femi Adebisi,Ikorodu Division,Ikorodu,6.616028,3.507845,3,4.19
84,85,LAG-PC-852038,Oluwaseun Eze,Ikorodu Division,Ikorodu,6.622773,3.505504,2,4.6
85,86,LAG-PC-286329,Obinna Okafor,Ikorodu Division,Ikorodu,6.629452,3.511702,1,5.0
86,87,LAG-PC-442834,Ngozi Yakubu,Ikorodu Division,Ikorodu,6.621283,3.517838,2,4.74
87,88,LAG-PC-346864,Ijeoma Adeyemi,Ikorodu Division,Ikorodu,6.625279,3.512143,1,4.52
88,89,LAG-PC-996942,Oluwaseun Afolabi,Ikorodu Division,Ikorodu,6.613298,3.500931,0,5.0
89,90,LAG-PC-618990,Bola Okoye,Ikorodu Division,Ikorodu,6.619585,3.519271,0,3.95
90,91,LAG-PC-567981,Ayomide Ibrahim,Epe Division,Epe,6.576481,3.981314,1,3.89
91,92,LAG-PC-914452,Bola Umeh,Epe Division,Ibeju-Lekki,6.475089,3.57935,0,4.77
92,93,LAG-PC-705306,Seyi Nwosu,Epe Division,Epe,6.586831,3.976892,3,4.9
93,94,LAG-PC-833525,Bola Ajayi,Epe Division,Epe,6.583821,3.976663,0,4.7
94,95,LAG-PC-699262,Opeyemi Ekanem,Epe Division,Epe,6.578596,3.975083,1,4.46
95,96,LAG-PC-193786,Ngozi Danladi,Epe Division,Ibeju-Lekki,6.463883,3.57978,2,4.04
96,97,LAG-PC-028087,Chinedu Eze,Epe Division,Ibeju-Lekki,6.468497,3.584768,0,4.57
97,98,LAG-PC-054594,Abdulrahman Oladipo,Epe Division,Epe,6.585176,3.980216,3,3.58
98,99,LAG-PC-544322,Ngozi Yakubu,Epe Division,Ibeju-Lekki,6.473316,3.580933,1,4.36
99,100,LAG-PC-381800,Tunde Ojo,Epe Division,Epe,6.589507,3.977539,2,4.14
