Plumber ID,Plumber Certificate ID,Plumber Name,Administrative Division,LGA,Base Latitude,Base Longitude,Active Jobs,Rating,Region,LCDA
22,LAG-PC-346636,Obinna Bamidele,Ikeja Division,Agege,6.608784,3.333864,2,4.38,Ikeja Division,Iba LCDA
23,LAG-PC-251984,Uche Afolabi,Ikeja Division,Alimosho,6.608733,3.284021,0,4.49,Ikeja Division,Oshodi-Bolade LCDA
24,LAG-PC-539686,Amaka Ibrahim,Ikeja Division,Ifako-Ijaiye,6.669919,3.328777,0,3.83,Ikeja Division,Amuwo-Odofin LCDA
25,LAG-PC-008838,Chinedu Okafor,Ikeja Division,Kosofe,6.581409,3.417189,2,4.64,Ikeja Division,Badagry West LCDA
26,LAG-PC-265784,Amaka Abiola,Ikeja Division,Mushin,6.537145,3.361168,3,4.8,Ikeja Division,Eredo LCDA
27,LAG-PC-029757,Olamide Nnamdi,Ikeja Division,Oshodi-Isolo,6.560204,3.314421,3,4.3,Ikeja Division,Lekki LCDA
28,LAG-PC-830093,Emeka Ajayi,Ikeja Division,Agege,6.619647,3.33979,1,4.67,Ikeja Division,Coker-Aguda LCDA
29,LAG-PC-612040,Chukwudi Afolabi,Ikeja Division,Alimosho,6.604978,3.299615,0,4.13,Ikeja Division,Yaba LCDA
30,LAG-PC-700115,Ijeoma Yakubu,Ikeja Division,Mushin,6.535022,3.357864,2,4.87,Ikeja Division,Ifako-Agege LCDA
31,LAG-PC-640021,Chioma Nnamdi,Ikeja Division,Agege,6.609892,3.339547,0,3.82,Ikeja Division,Iba LCDA
32,LAG-PC-495636,Uche Akinyemi,Ikeja Division,Kosofe,6.584213,3.418909,2,4.81,Ikeja Division,Badagry West LCDA
33,LAG-PC-705743,Ayomide Danladi,Ikeja Division,Alimosho,6.610268,3.295617,3,4.84,Ikeja Division,Oshodi-Bolade LCDA
34,LAG-PC-155085,Oluwaseun Danladi,Ikeja Division,Agege,6.623974,3.330914,2,4.06,Ikeja Division,Iba LCDA
35,LAG-PC-233292,Chinedu Oladipo,Ikeja Division,Oshodi-Isolo,6.556851,3.302687,0,4.31,Ikeja Division,Lekki LCDA
36,LAG-PC-236380,Obinna Ajayi,Lagos Island Division,Apapa,6.442939,3.364013,1,5,Lagos Island Division,Agbado-Oke Odo LCDA
37,LAG-PC-761708,Oluwaseun Ekanem,Lagos Island Division,Lagos Island,6.458925,3.393869,1,5,Lagos Island Division,Odi-Olowo/Ojuwoye LCDA
38,LAG-PC-816926,Bola Nwosu,Lagos Island Division,Surulere,6.502895,3.363911,2,4.16,Lagos Island Division,Agboyi-Ketu LCDA
39,LAG-PC-983010,Ifeanyi Balogun,Lagos Island Division,Surulere,6.488119,3.359567,3,4.69,Lagos Island Division,Agboyi-Ketu LCDA
40,LAG-PC-446882,Chinedu Balogun,Lagos Island Division,Apapa,6.448138,3.355156,3,4.26,Lagos Island Division,Agbado-Oke Odo LCDA
41,LAG-PC-223757,Adebayo Eze,Lagos Island Division,Eti-Osa,6.43776,3.422856,1,4.59,Lagos Island Division,Ebute-Metta LCDA
42,LAG-PC-073073,Amaka Eze,Lagos Island Division,Eti-Osa,6.430165,3.418117,0,4.09,Lagos Island Division,Ebute-Metta LCDA
43,LAG-PC-573282,Kelechi Yakubu,Lagos Island Division,Surulere,6.49224,3.367693,1,4.62,Lagos Island Division,Agboyi-Ketu LCDA
44,LAG-PC-811152,Seyi Oladipo,Lagos Island Division,Lagos Island,6.455658,3.388101,3,4.7,Lagos Island Division,Oriade LCDA
45,LAG-PC-830304,Opeyemi Ajayi,Lagos Island Division,Lagos Mainland,6.517613,3.387659,0,4.56,Lagos Island Division,Ikotun-Ikosi LCDA
46,LAG-PC-377620,Chinedu Eze,Lagos Island Division,Surulere,6.497739,3.356317,0,4.37,Lagos Island Division,Agboyi-Ketu LCDA
47,LAG-PC-025655,Emeka Abiola,Lagos Island Division,Lagos Mainland,6.528163,3.371303,0,4.35,Lagos Island Division,Oto-Awori LCDA
48,LAG-PC-525714,Femi Owolabi,Lagos Island Division,Apapa,6.442046,3.36672,3,4.83,Lagos Island Division,Agbado-Oke Odo LCDA
49,LAG-PC-004232,Bola Yakubu,Lagos Island Division,Eti-Osa,6.439449,3.41925,1,4.7,Lagos Island Division,Ebute-Metta LCDA
50,LAG-PC-004528,Opeyemi Nnamdi,Lagos Island Division,Lagos Island,6.458701,3.386273,0,4.36,Lagos Island Division,Odi-Olowo/Ojuwoye LCDA
51,LAG-PC-470420,Opeyemi Yakubu,Lagos Island Division,Lagos Island,6.456259,3.402274,2,4.21,Lagos Island Division,Oriade LCDA
52,LAG-PC-346021,Tunde Umeh,Lagos Island Division,Lagos Island,6.447973,3.392321,0,4.17,Lagos Island Division,Oriade LCDA
53,LAG-PC-895927,Emeka Okafor,Lagos Island Division,Lagos Mainland,6.528911,3.380657,1,3.7,Lagos Island Division,Oto-Awori LCDA
54,LAG-PC-715619,Ayomide Ibrahim,Lagos Island Division,Eti-Osa,6.427708,3.422402,0,4.8,Lagos Island Division,Ojodu LCDA
55,LAG-PC-190708,Oluwaseun Okoye,Lagos Island Division,Lagos Mainland,6.528254,3.378398,3,4.76,Lagos Island Division,Ikotun-Ikosi LCDA
56,LAG-PC-569692,Chinedu Ajayi,Lagos Island Division,Lagos Mainland,6.526046,3.385587,2,4,Lagos Island Division,Ikotun-Ikosi LCDA
57,LAG-PC-187968,Seyi Ojo,Lagos Island Division,Lagos Island,6.460057,3.396252,2,4.61,Lagos Island Division,Odi-Olowo/Ojuwoye LCDA
58,LAG-PC-330726,Kelechi Adeyemi,Lagos Island Division,Surulere,6.493921,3.355005,2,5,Lagos Island Division,Agboyi-Ketu LCDA
59,LAG-PC-116528,Ijeoma Adebisi,Lagos Island Division,Surulere,6.506791,3.360582,2,4.64,Lagos Island Division,Agboyi-Ketu LCDA
60,LAG-PC-959950,Tunde Akinyemi,Badagry Division,Amuwo-Odofin,6.452554,3.25045,3,4.7,Badagry Division,Bariga LCDA
61,LAG-PC-395540,Emeka Owolabi,Badagry Division,Ajeromi-Ifelodun,6.474408,3.337376,0,4.23,Badagry Division,Badagry Central LCDA
62,LAG-PC-744635,Abdulrahman Adebisi,Badagry Division,Ojo,6.466448,3.174646,2,4.65,Badagry Division,Igbogbo-Baiyeku LCDA
63,LAG-PC-326731,Amaka Afolabi,Badagry Division,Amuwo-Odofin,6.446513,3.243486,3,3.88,Badagry Division,Bariga LCDA
64,LAG-PC-920729,Temitope Ajayi,Badagry Division,Badagry,6.412193,2.886195,1,4.45,Badagry Division,Itire-Ikate LCDA
65,LAG-PC-694946,Chisom Nwosu,Badagry Division,Badagry,6.422025,2.89529,0,4.75,Badagry Division,Itire-Ikate LCDA
66,LAG-PC-840990,Olamide Owolabi,Badagry Division,Amuwo-Odofin,6.452789,3.251819,2,5,Badagry Division,Ojokoro LCDA
67,LAG-PC-158740,Amaka Abiola,Badagry Division,Ajeromi-Ifelodun,6.470799,3.337216,2,3.92,Badagry Division,Epe LCDA
68,LAG-PC-645629,Tunde Ibrahim,Badagry Division,Amuwo-Odofin,6.44773,3.252992,1,4.85,Badagry Division,Bariga LCDA
69,LAG-PC-245840,Opeyemi Afolabi,Badagry Division,Badagry,6.421711,2.885762,0,4.23,Badagry Division,Itire-Ikate LCDA
70,LAG-PC-349946,Chukwudi Ojo,Badagry Division,Badagry,6.423208,2.872876,1,4.36,Badagry Division,Ifako-Ijaiye LCDA
71,LAG-PC-304699,Femi Owolabi,Badagry Division,Badagry,6.416312,2.879561,3,5,Badagry Division,Itire-Ikate LCDA
72,LAG-PC-543139,Chinedu Balogun,Badagry Division,Ajeromi-Ifelodun,6.468712,3.336349,0,4.17,Badagry Division,Epe LCDA
73,LAG-PC-929074,Amaka Bamidele,Badagry Division,Ajeromi-Ifelodun,6.46581,3.336744,0,4.59,Badagry Division,Badagry Central LCDA
74,LAG-PC-376103,Ijeoma Umeh,Badagry Division,Amuwo-Odofin,6.44971,3.254414,0,4.07,Badagry Division,Bariga LCDA
75,LAG-PC-712002,Chisom Danladi,Badagry Division,Amuwo-Odofin,6.447488,3.259496,1,5,Badagry Division,Bariga LCDA
76,LAG-PC-420079,Chisom Eze,Badagry Division,Badagry,6.412899,2.884019,1,4.89,Badagry Division,Ifako-Ijaiye LCDA
77,LAG-PC-121260,Ijeoma Ibrahim,Badagry Division,Ajeromi-Ifelodun,6.460308,3.342681,0,4.37,Badagry Division,Epe LCDA
78,LAG-PC-979991,Temitope Adebisi,Badagry Division,Badagry,6.408106,2.875011,3,4.64,Badagry Division,Ifako-Ijaiye LCDA
79,LAG-PC-286394,Oluwaseun Ojo,Badagry Division,Ajeromi-Ifelodun,6.470063,3.342119,3,4.56,Badagry Division,Epe LCDA
80,LAG-PC-173848,Chinedu Owolabi,Badagry Division,Amuwo-Odofin,6.454833,3.249828,3,4.39,Badagry Division,Ojokoro LCDA
81,LAG-PC-394872,Amaka Adebisi,Ikorodu Division,Ikorodu,6.616136,3.518308,0,3.52,Ikorodu Division,Ikorodu North LCDA
82,LAG-PC-023106,Ifeanyi Okoye,Ikorodu Division,Ikorodu,6.614708,3.510584,0,4.48,Ikorodu Division,Ikorodu North LCDA
83,LAG-PC-764066,Tunde Ojo,Ikorodu Division,Ikorodu,6.626796,3.51269,1,3.96,Ikorodu Division,Ikorodu North LCDA
84,LAG-PC-828003,Femi Adebisi,Ikorodu Division,Ikorodu,6.616028,3.507845,3,4.19,Ikorodu Division,Ikorodu North LCDA
85,LAG-PC-852038,Oluwaseun Eze,Ikorodu Division,Ikorodu,6.622773,3.505504,2,4.6,Ikorodu Division,Ikorodu West LCDA
86,LAG-PC-286329,Obinna Okafor,Ikorodu Division,Ikorodu,6.629452,3.511702,1,5,Ikorodu Division,Ikorodu North LCDA
87,LAG-PC-442834,Ngozi Yakubu,Ikorodu Division,Ikorodu,6.621283,3.517838,2,4.74,Ikorodu Division,Ikorodu West LCDA
88,LAG-PC-346864,Ijeoma Adeyemi,Ikorodu Division,Ikorodu,6.625279,3.512143,1,4.52,Ikorodu Division,Ikorodu West LCDA
89,LAG-PC-996942,Oluwaseun Afolabi,Ikorodu Division,Ikorodu,6.613298,3.500931,0,5,Ikorodu Division,Ikorodu West LCDA
90,LAG-PC-618990,Bola Okoye,Ikorodu Division,Ikorodu,6.619585,3.519271,0,3.95,Ikorodu Division,Ikorodu West LCDA
91,LAG-PC-567981,Ayomide Ibrahim,Epe Division,Epe,6.576481,3.981314,1,3.89,Epe Division,Mosan-Okunola LCDA
92,LAG-PC-914452,Bola Umeh,Epe Division,Ibeju-Lekki,6.475089,3.57935,0,4.77,Epe Division,Ikoyi-Obalende LCDA
93,LAG-PC-705306,Seyi Nwosu,Epe Division,Epe,6.586831,3.976892,3,4.9,Epe Division,Mosan-Okunola LCDA
94,LAG-PC-833525,Bola Ajayi,Epe Division,Epe,6.583821,3.976663,0,4.7,Epe Division,Ikeja LCDA
95,LAG-PC-699262,Opeyemi Ekanem,Epe Division,Epe,6.578596,3.975083,1,4.46,Epe Division,Ikeja LCDA
96,LAG-PC-193786,Ngozi Danladi,Epe Division,Ibeju-Lekki,6.463883,3.57978,2,4.04,Epe Division,Ikoyi-Obalende LCDA
97,LAG-PC-028087,Chinedu Eze,Epe Division,Ibeju-Lekki,6.468497,3.584768,0,4.57,Epe Division,Ikoyi-Obalende LCDA
98,LAG-PC-054594,Abdulrahman Oladipo,Epe Division,Epe,6.585176,3.980216,3,3.58,Epe Division,Mosan-Okunola LCDA
99,LAG-PC-544322,Ngozi Yakubu,Epe Division,Ibeju-Lekki,6.473316,3.580933,1,4.36,Epe Division,Onigbongbo LCDA
100,LAG-PC-381800,Tunde Ojo,Epe Division,Epe,6.589507,3.977539,2,4.14,Epe Division,Mosan-Okunola LCDA
